date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:28	16275/16275	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_144.png	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/favicon_144.png	(from https://www.youtube.com/t/contact_us/)
11:35:29	9171/9171	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Oct%202019%2017:15:00%20GMT	https://www.youtube.com/img/desktop/supported_browsers/yt_logo_rgb_light.png	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/img/desktop/supported_browsers/yt_logo_rgb_light.png	(from https://www.youtube.com/t/contact_us/)
11:35:30	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:10%20GMT	https://www.youtube.com/yt/about	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/about.22.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:30	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:10%20GMT	https://www.youtube.com/about	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/about.23.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:31	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2023%20Oct%202022%2006:05:17%20GMT	https://www.youtube.com/t/community_guidelines	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/community_guidelines.24.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:31	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:58:25%20GMT	https://www.youtube.com/yt/policyandsafety/communityguidelines.html	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/policyandsafety/communityguidelines.25.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:32	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:10%20GMT	https://www.youtube.com/yt/jobs	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/yt/jobs.26.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:32	116849/116849	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:05:18%20GMT	https://www.youtube.com/howyoutubeworks/policies/community-guidelines/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/howyoutubeworks/policies/community-guidelines/index.html	(from https://www.youtube.com/t/contact_us/)
11:35:32	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:11%20GMT	https://www.youtube.com/jobs	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/jobs.27.delayed	(from https://www.youtube.com/t/contact_us/)
11:35:33	54069/54069	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:05:19%20GMT	https://www.youtube.com/jobs/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/jobs/index.html	(from https://www.youtube.com/t/contact_us/)
